stairs_1627_0.mcap  时长 112 s  Odometry 1124  IMU 22300  关节 22299  cmd 1611  climb_mode [(np.float64(43.5), 2)]
    t     Δz    行程   vx令   roll  pitch    yaw | 轮速 fl fr hl hr (rad/s) | 轮力矩 |均| fl fr hl hr | 堵转%(|τ|>6&|v|<1) | 膝 fl fr hl hr
   50  +1.87  8.65  0.00   +1.6   -2.5 -157.9 |  +0.1  -0.1  -0.0  -0.0 |  0.8  0.1  0.4  0.3 |    0    0    0    0 | +2.11 -2.15 -2.11 +2.07
   52  +1.88  8.68  0.00   +4.4   -2.6 -145.2 |  -0.5  +0.6  +0.4  -0.6 |  0.5  1.1  1.7  0.4 |    0    0    0    0 | +1.98 -2.40 -2.31 +1.68
   54  +1.89  8.64  0.08   +3.5   +1.9 -130.2 |  +0.3  -0.5  +1.1  +0.4 |  0.2  0.3  0.3  0.4 |    0    0    0    0 | +1.93 -2.36 -2.23 +1.66
   56  +1.88  8.68  0.25   +0.9   +1.5 -128.7 |  -1.6  +2.5  -1.4  +1.9 |  0.2  0.4  0.4  1.0 |    0    0    0    0 | +1.70 -2.06 -2.01 +1.66
   58  +1.89  8.85  0.02   -1.0   +1.8 -135.5 |  -0.3  -0.2  -0.9  -0.2 |  0.9  0.7  0.8  0.8 |    0    0    0    0 | +2.01 -1.86 -1.92 +2.05
   60  +1.90  8.86  0.00   -0.8   +1.1 -141.0 |  +0.1  -0.1  -0.3  -0.7 |  0.8  0.7  0.8  0.5 |    0    0    0    0 | +2.17 -1.99 -2.02 +2.21
   62  +1.88  8.96  0.22   -0.0   +1.3 -140.8 |  -2.5  +2.4  -1.1  +1.0 |  0.3  0.3  0.7  0.4 |    0    0    0    0 | +1.74 -1.67 -1.76 +1.79
   64  +1.86  9.35  0.25   +1.0   +1.1 -140.7 |  -2.8  +2.8  -2.7  +2.7 |  0.6  0.3  0.2  0.5 |    0    0    0    0 | +1.33 -1.28 -1.41 +1.41
   66  +1.88  9.70  0.25   +1.0   -0.0 -140.9 |  -2.3  +2.7  -3.0  +2.9 |  1.2  0.4  0.2  0.8 |    2    0    0    0 | +1.35 -1.27 -1.34 +1.41
   68  +1.95 10.21  0.25   -0.4   -8.2 -135.7 |  -6.8  +5.0  -3.6  +3.8 |  1.8  1.2  1.0  0.7 |    2    0    0    0 | +1.24 -1.18 -1.36 +1.43
