时长 78 s  climb_mode 事件: [(np.float64(6.2), 2), (np.float64(6.2), 0), (np.float64(6.6), 2), (np.float64(17.3), 0), (np.float64(75.7), 0)]
/hmap_info 5 列取值范围: c0 0.03743~0.6524  c1 5.213e-05~0.0003279  c2 15~31  c3 0.0006102~0.1207  c4 10.6~13.93
   t   vx令   wz令   LIOz LIOdz/s  LIOyaw IMUroll  pitch | 轮力矩|均| fl fr hl hr | 堵转%(|τ|>6&|v|<1) | raw空洞% raw墙格% 填图墙格% 填图帧跳p95 | hmap_info hole_rate map_coverage frames cloud_age tilt_deg
  23  0.00  0.00 -15.94   -0.02    45.5    -1.2   -3.2 |  0.2  0.5  0.1  0.9 |    0    0    0    0 |   27.9    0.0    0.0   0.09 | 0.279 0.000254 21.7 0.0204 11.9
  24  0.00  0.00 -15.94   -0.01    45.3    -1.3   -3.3 |  0.1  0.5  0.2  1.0 |    0    0    0    0 |   29.0    0.0    0.0   0.11 | 0.29 0.000269 25.6 0.0222 11.8
  25  0.00  0.00 -15.95   -0.00    45.5    -1.3   -3.1 |  0.1  0.7  0.1  1.1 |    0    0    0    0 |   26.9    0.0    0.0   0.10 | 0.269 0.000286 20.6 0.02 11.7
  26  0.00  0.00 -15.94   +0.02    45.4    -1.3   -3.2 |  0.1  0.7  0.1  0.8 |    0    0    0    0 |   26.2    0.0    0.0   0.13 | 0.262 0.000284 24.2 0.0208 11.6
  27  0.00  0.00 -15.96   -0.05    45.1    -1.5   -3.2 |  0.2  0.8  0.3  0.7 |    0    0    0    0 |   25.7    0.0    0.0   0.13 | 0.257 0.000287 24.5 0.0221 11.6
  28  0.00  0.00 -15.95   +0.03    45.4    -1.3   -3.3 |  0.1  0.7  0.3  0.9 |    0    0    0    0 |   26.4    0.0    0.0   0.13 | 0.264 0.000257 20 0.0223 11.5
  29  0.00  0.00 -15.95   -0.01    45.5    -1.2   -3.2 |  0.2  0.7  0.2  1.1 |    0    0    0    0 |   24.2    0.0    0.0   0.09 | 0.242 0.000272 24.6 0.0223 11.4
  30  0.00  0.00 -15.96   +0.00    45.4    -1.3   -3.2 |  0.1  0.6  0.1  1.0 |    0    0    0    0 |   25.0    0.0    0.0   0.09 | 0.25 0.000285 23.8 0.0193 11.4
  31  0.00  0.00 -15.94   +0.01    45.4    -1.4   -3.2 |  0.0  0.6  0.1  0.8 |    0    0    0    0 |   26.7    0.0    0.0   0.08 | 0.267 0.000262 22.4 0.0202 11.4
  32  0.00  0.00 -15.94   -0.02    45.4    -1.4   -3.2 |  0.1  0.6  0.1  1.0 |    0    0    0    0 |   29.5    0.0    0.0   0.12 | 0.295 0.000246 24.4 0.0243 11.4
  33  0.00  0.00 -15.96   -0.02    45.5    -1.2   -3.2 |  0.1  0.5  0.2  1.1 |    0    0    0    0 |   31.9    0.0    0.0   0.05 | 0.319 0.000219 21.7 0.0246 11.4
  34  0.00  0.00 -15.96   +0.01    45.5    -1.2   -3.1 |  0.1  0.5  0.1  1.0 |    0    0    0    0 |   31.4    0.0    0.0   0.08 | 0.314 0.000225 22.7 0.0219 11.4
  35  0.00  0.00 -15.95   -0.02    46.1    -0.9   -2.9 |  0.1  0.7  0.2  1.3 |    0    0    0    0 |   30.9    0.0    0.0   0.16 | 0.309 0.00023 25.1 0.0227 11.5
  36  0.00  0.00 -15.97   -0.01    46.2    -1.0   -3.0 |  0.2  0.9  0.3  1.5 |    0    0    0    0 |   28.5    0.0    0.0   0.20 | 0.285 0.000239 20.6 0.0199 11.6
  37  0.00  0.00 -15.98   -0.00    45.8    -1.1   -3.0 |  0.2  0.7  0.2  1.2 |    0    0    0    0 |   28.5    0.0    0.0   0.12 | 0.285 0.000239 22 0.0211 11.7
  38  0.00  0.00 -15.96   +0.03    45.4    -1.3   -3.2 |  0.2  0.5  0.1  0.6 |    0    0    0    0 |   30.1    0.0    0.0   0.11 | 0.301 0.000248 25.7 0.0222 11.7
  39  0.00  0.00 -15.96   -0.01    45.5    -1.1   -3.1 |  0.1  0.6  0.1  0.8 |    0    0    0    0 |   31.1    0.0    0.0   0.08 | 0.311 0.000245 20.6 0.0198 11.6
  40  0.00  0.00 -15.96   -0.00    45.6    -1.1   -3.1 |  0.1  0.6  0.1  1.0 |    0    0    0    0 |   29.1    0.0    0.0   0.10 | 0.291 0.000259 24.1 0.0209 11.7
  41  0.00  0.00 -15.96   +0.02    45.6    -1.2   -3.1 |  0.1  0.5  0.1  0.9 |    0    0    0    0 |   28.7    0.0    0.0   0.11 | 0.287 0.000261 24.7 0.0213 11.6
  42  0.00  0.00 -15.96   -0.02    45.5    -1.3   -3.1 |  0.2  0.5  0.1  0.7 |    0    0    0    0 |   29.0    0.0    0.0   0.11 | 0.29 0.000243 21.8 0.0202 11.6
  43  0.00  0.00 -15.96   +0.00    45.6    -1.2   -3.1 |  0.1  0.5  0.1  0.9 |    0    0    0    0 |   30.0    0.0    0.0   0.12 | 0.3 0.000241 24.9 0.0205 11.6
  44  0.00  0.00 -15.95   +0.00    45.5    -1.2   -3.1 |  0.2  0.5  0.2  0.6 |    0    0    0    0 |   29.8    0.0    0.0   0.06 | 0.298 0.000241 22.7 0.022 11.6
  45  0.00  0.00 -15.95   -0.01    45.5    -1.2   -3.1 |  0.1  0.5  0.2  0.7 |    0    0    0    0 |   30.8    0.0    0.0   0.08 | 0.308 0.000232 21.3 0.0224 11.6
  46  0.00  0.00 -15.95   +0.00    45.6    -1.2   -3.1 |  0.2  0.5  0.0  0.8 |    0    0    0    0 |   30.7    0.0    0.0   0.12 | 0.307 0.000228 23.6 0.0208 11.6
  47  0.00  0.00 -15.95   +0.00    45.7    -1.1   -3.0 |  0.1  0.5  0.1  1.0 |    0    0    0    0 |   28.9    0.0    0.0   0.18 | 0.289 0.000229 21.6 0.0147 11.6
  48  0.00  0.00 -15.95   -0.02    46.3    -1.0   -2.8 |  0.2  0.6  0.3  1.2 |    0    0    0    0 |   28.7    0.0    0.0   0.19 | 0.287 0.000244 22.6 0.0248 11.7
  49  0.00  0.00 -15.97   +0.00    46.2    -1.1   -3.0 |  0.3  0.6  0.3  1.1 |    0    0    0    0 |   27.5    0.0    0.0   0.13 | 0.275 0.000261 26.6 0.0185 11.8
  50  0.00  0.00 -15.95   +0.01    45.5    -1.2   -3.1 |  0.4  0.5  0.1  0.5 |    0    0    0    0 |   26.6    0.0    0.0   0.11 | 0.266 0.000266 20.5 0.0197 11.8
  51  0.00  0.00 -15.95   -0.00    45.6    -1.0   -3.1 |  0.2  0.6  0.1  0.7 |    0    0    0    0 |   27.9    0.0    0.0   0.12 | 0.279 0.000259 22.4 0.017 11.7
  52  0.00  0.00 -15.94   -0.01    45.6    -1.1   -3.2 |  0.1  0.5  0.1  1.0 |    0    0    0    0 |   27.3    0.0    0.0   0.08 | 0.273 0.000263 25 0.0216 11.7
  53  0.00  0.00 -15.95   +0.03    45.6    -1.1   -3.2 |  0.2  0.5  0.2  0.8 |    0    0    0    0 |   29.2    0.0    0.0   0.09 | 0.292 0.000259 19.6 0.0206 11.7
  54  0.00  0.00 -15.93   -0.00    45.5    -1.2   -3.2 |  0.1  0.6  0.1  0.8 |    0    0    0    0 |   29.4    0.0    0.0   0.10 | 0.294 0.000256 23.5 0.0217 11.7
  55  0.00  0.00 -15.95   -0.02    45.6    -1.2   -3.2 |  0.0  0.7  0.2  1.0 |    0    0    0    0 |   31.0    0.0    0.0   0.08 | 0.31 0.000246 24.8 0.0182 11.6
  56  0.00  0.00 -15.97   -0.05    45.9    -1.1   -3.2 |  0.3  0.7  0.4  0.9 |    0    0    0    0 |   29.9    0.0    0.0   0.08 | 0.299 0.000243 20.3 0.0237 11.6
  57  0.00  0.00 -16.13   -0.19    44.2    -0.8   -2.2 |  0.8  1.2  0.4  2.3 |    0    0    0    0 |   26.8   16.8   20.2   0.12 | 0.268 0.000247 23.4 0.0257 11.7
  58  0.00  0.00 -16.24   -0.04    44.2    -0.5   -2.1 |  0.3  0.2  0.2  0.2 |    0    0    0    0 |   21.4   61.2   70.9   0.11 | 0.214 0.000243 23.6 0.03 12.1
