t,x,y,z,roll,pitch,yaw,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
-0.500,2.4733,0.0,0.3684,-0.446,-4.242,0.0,-0.07071,-0.88277,1.35540,-1199.73267,-0.00130,-0.77322,1.38306,1190.08386,0.06517,0.60933,-1.46373,-1428.82642,0.02413,0.79762,-1.40782,1495.30835
-0.480,2.4746,0.0,0.3681,-0.375,-4.135,0.0,-0.07083,-0.88494,1.35153,-1199.72473,-0.00211,-0.77726,1.38592,1190.09277,0.06528,0.60882,-1.46294,-1428.84241,0.02421,0.79764,-1.40843,1495.32410
-0.460,2.4756,0.0,0.3678,-0.378,-4.005,0.0,-0.07234,-0.88471,1.34637,-1199.71582,-0.00393,-0.77792,1.38640,1190.09595,0.06579,0.61009,-1.46299,-1428.85486,0.02429,0.79892,-1.40751,1495.33887
-0.440,2.4764,0.0,0.3677,-0.358,-3.991,0.0,-0.07336,-0.88149,1.34453,-1199.71619,-0.00631,-0.77773,1.38814,1190.09668,0.06574,0.61246,-1.46261,-1428.86060,0.02426,0.80215,-1.40522,1495.35217
-0.420,2.4770,0.0,0.3678,-0.288,-4.027,0.0,-0.07347,-0.87836,1.34262,-1199.71692,-0.00716,-0.77702,1.38934,1190.09595,0.06542,0.61305,-1.46056,-1428.86084,0.02425,0.80638,-1.40352,1495.36621
-0.400,2.4775,0.0,0.3679,-0.195,-4.123,0.0,-0.07336,-0.87569,1.33866,-1199.71692,-0.00714,-0.77677,1.39005,1190.09583,0.06537,0.61272,-1.45829,-1428.86035,0.02433,0.80990,-1.40357,1495.38062
-0.380,2.4779,0.0,0.3681,-0.159,-4.205,0.0,-0.07332,-0.87516,1.33635,-1199.71680,-0.00712,-0.77704,1.38927,1190.09583,0.06544,0.61130,-1.45729,-1428.86060,0.02430,0.81048,-1.40343,1495.38904
-0.360,2.4782,0.0,0.3681,-0.167,-4.226,0.0,-0.07323,-0.87566,1.33611,-1199.71667,-0.00708,-0.77744,1.38764,1190.09583,0.06547,0.60976,-1.45691,-1428.86072,0.02424,0.81046,-1.40322,1495.39478
-0.340,2.4788,0.0,0.3682,-0.181,-4.203,0.0,-0.07323,-0.87799,1.33476,-1199.71350,-0.00706,-0.77974,1.38751,1190.09644,0.06561,0.60745,-1.45710,-1428.86243,0.02426,0.81045,-1.40278,1495.40918
-0.320,2.4793,0.0,0.3681,-0.189,-4.171,0.0,-0.07325,-0.87915,1.33373,-1199.71094,-0.00706,-0.78096,1.38737,1190.09644,0.06562,0.60638,-1.45718,-1428.86426,0.02425,0.81057,-1.40174,1495.42041
-0.300,2.4795,0.0,0.3681,-0.198,-4.110,0.0,-0.07323,-0.87899,1.33367,-1199.71106,-0.00712,-0.78091,1.38731,1190.09644,0.06559,0.60680,-1.45710,-1428.86658,0.02426,0.81082,-1.40072,1495.42505
-0.280,2.4799,0.0,0.3680,-0.178,-4.114,0.0,-0.07323,-0.87756,1.33358,-1199.71155,-0.00709,-0.78015,1.38741,1190.09631,0.06548,0.60734,-1.45694,-1428.86829,0.02426,0.81249,-1.39994,1495.42871
-0.260,2.4800,0.0,0.3681,-0.165,-4.137,0.0,-0.07324,-0.87694,1.33363,-1199.71228,-0.00710,-0.77963,1.38761,1190.09631,0.06544,0.60792,-1.45695,-1428.86853,0.02426,0.81370,-1.39985,1495.43188
-0.240,2.4804,0.0,0.3681,-0.149,-4.189,0.0,-0.07323,-0.87690,1.33357,-1199.71265,-0.00679,-0.77953,1.38803,1190.09631,0.06537,0.60810,-1.45719,-1428.86865,0.02428,0.81541,-1.39979,1495.44031
-0.220,2.4808,0.0,0.3681,-0.153,-4.203,0.0,-0.07319,-0.87784,1.33352,-1199.71240,-0.00662,-0.77974,1.38803,1190.09729,0.06534,0.60816,-1.45786,-1428.87000,0.02430,0.81642,-1.39939,1495.45032
-0.200,2.4812,0.0,0.3681,-0.164,-4.205,0.0,-0.07327,-0.87871,1.33357,-1199.71252,-0.00647,-0.78007,1.38803,1190.09973,0.06534,0.60818,-1.45887,-1428.87170,0.02432,0.81685,-1.39910,1495.45679
-0.180,2.4817,0.0,0.3681,-0.169,-4.187,0.0,-0.07322,-0.87955,1.33350,-1199.71228,-0.00619,-0.77976,1.38814,1190.10571,0.06513,0.60896,-1.45984,-1428.87732,0.02425,0.81756,-1.39909,1495.46423
-0.160,2.4824,0.0,0.3680,-0.160,-4.166,0.0,-0.07319,-0.87960,1.33348,-1199.71216,-0.00604,-0.77857,1.38956,1190.11584,0.06478,0.61181,-1.46115,-1428.88745,0.02429,0.81890,-1.39894,1495.47192
-0.140,2.4828,0.0,0.3680,-0.152,-4.177,0.0,-0.07323,-0.87948,1.33341,-1199.71228,-0.00595,-0.77694,1.39104,1190.12720,0.06440,0.61435,-1.46247,-1428.89526,0.02427,0.81920,-1.39863,1495.47559
-0.120,2.4832,0.0,0.3680,-0.139,-4.198,0.0,-0.07323,-0.87939,1.33294,-1199.71240,-0.00577,-0.77545,1.39217,1190.14294,0.06392,0.61592,-1.46315,-1428.90295,0.02428,0.81926,-1.39861,1495.47595
-0.100,2.4837,0.0,0.3680,-0.124,-4.198,0.0,-0.07321,-0.87947,1.33263,-1199.71240,-0.00515,-0.77415,1.39325,1190.15759,0.06354,0.61737,-1.46329,-1428.91064,0.02428,0.81922,-1.39870,1495.47791
-0.080,2.4840,0.0,0.3680,-0.121,-4.189,0.0,-0.07322,-0.87966,1.33253,-1199.71252,-0.00475,-0.77294,1.39377,1190.17383,0.06345,0.61836,-1.46353,-1428.91614,0.02430,0.81923,-1.39868,1495.48169
-0.060,2.4849,0.0,0.3680,-0.137,-4.167,0.0,-0.07322,-0.88003,1.33234,-1199.71252,-0.00432,-0.76959,1.39504,1190.20435,0.06239,0.62098,-1.46460,-1428.92871,0.02425,0.81928,-1.39818,1495.49036
-0.040,2.4856,0.0,0.3680,-0.133,-4.167,0.0,-0.07326,-0.88006,1.33226,-1199.71289,-0.00414,-0.76598,1.39833,1190.24084,0.06176,0.62556,-1.46658,-1428.94385,0.02430,0.81939,-1.39794,1495.49402
-0.020,2.4864,0.0,0.3680,-0.119,-4.181,0.0,-0.07325,-0.87993,1.33213,-1199.71350,-0.00341,-0.76221,1.40098,1190.29297,0.06154,0.63044,-1.46912,-1428.96191,0.02431,0.81939,-1.39814,1495.49475
0.000,2.4875,0.0,0.3680,-0.124,-4.193,0.0,-0.07323,-0.87994,1.33215,-1199.71411,-0.00302,-0.75754,1.40259,1190.35254,0.06068,0.63540,-1.47212,-1428.98560,0.02428,0.81939,-1.39851,1495.49719
